OBJECTID,NOMBRE,EMPRESA,DEPARTAMEN,PROVINCIA,DISTRITO,LOCALIDAD,POTENCIA_I,POTENCIA_E,SERVICIO,ALTITUD,RIO,TURBINAS,TIPO,SALTO_NETO,CAUDAL,REPRESA,geometry,X,Y
145.0,SAN GABAN II,SAN GABAN,PUNO,CARABAYA,SAN GABÁN,TUNQUINI,108.0,113.10000000000001,2000.0,1423,San Gabán,2,Pelton,658.0,18.7,San Gabán II/1999/ generación eléctrica- Túnel a presión,POINT (-70.46036274400001 -13.645514644000002),-70.46036274400001,-13.645514644000002
146.0,SAN IGNACIO,SN POWER,AREQUIPA,CAYLLOMA,CAYLLOMA,CAYLLOMA,0.5,0.422,,,,,,0.0,0.0,,POINT (-71.80328125300002 -15.216236099000014),-71.80328125300002,-15.216236099000014
147.0,CHUYAPI,ELECTRO SUR ESTE,CUSCO,LA CONVENCION,QUILLABAMBA,,1.176,0.86,1958.0,,,3,Francis,49.0,0.0,,POINT (-72.69955900000002 -12.86716899999999),-72.69955900000002,-12.86716899999999
148.0,MANCAHUARA,ELECTRO SUR ESTE,APURIMAC,ABANCAY,CURASCO,,2.7,2.53,2005.0,,,3,Pelton,248.0,0.0,,POINT (-72.557659 -14.039143000000024),-72.557659,-14.039143000000024
149.0,VILCABAMBA,ELECTRO SUR ESTE,APURIMAC,GRAU,VILCABAMBA,,0.4,0.36,1982.0,"
1752",,2,Francis,37.0,0.0,,POINT (-72.622499 -14.070318999999984),-72.622499,-14.070318999999984
150.0,CHALHUANCA,ELECTRO SUR ESTE,APURIMAC,AYMARAES,CHALHUANCA,,0.12,0.1,2000.0,,,1,Francis,57.0,0.0,,POINT (-73.24799999999999 -14.295999999999992),-73.24799999999999,-14.295999999999992
151.0,MATARA,ELECTRO SUR ESTE,APURIMAC,ABANCAY,MATARA,,1.6,1.52,1963.0,,,3,Francis,120.0,0.0,,POINT (-72.922909 -13.737782999999979),-72.922909,-13.737782999999979
152.0,HUANCARAY,ELECTRO SUR ESTE,APURIMAC,ANDAHUAYLAS,TURPO,,0.57,0.5,1965.0,,,2,Pelton,97.0,0.0,,POINT (-73.50110999999998 -13.774400000000014),-73.50110999999998,-13.774400000000014
153.0,CHUMBAO,ELECTRO SUR ESTE,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,,2.0,1.8,1993.0,,,2,Pelton,382.0,0.0,,POINT (-73.31914899999998 -13.322311000000013),-73.31914899999998,-13.322311000000013
154.0,CHANCHAMAYO,ELECTRO CENTRO,JUNIN,CHANCHAMAYO,SAN RAMON,,0.552,0.0,1962.0,,,2,Francis,62.0,0.0,,POINT (-75.32636224200002 -11.081773655000006),-75.32636224200002,-11.081773655000006
155.0,PICHANAKI,ELECTRO CENTRO,JUNIN,CHANCHAMAYO,PICHANAQUI,,1.25,1.2,1987.0,,,2,Francis,74.0,0.0,,POINT (-74.85466000000002 -10.942203000000006),-74.85466000000002,-10.942203000000006
156.0,CHALHUAMAYO,ELECTRO CENTRO,JUNIN,SATIPO,MAZAMARI,,3.26,3.0,1997.0,,,2,Pelton,241.0,0.0,,POINT (-74.60894189999999 -11.220557766000013),-74.60894189999999,-11.220557766000013
157.0,PANGOA,EGEPSA,JUNIN,SATIPO,PANGOA,,1.0,1.0,1995.0,,,2,Francis,42.0,0.0,,POINT (-74.50417199999998 -11.486946999999986),-74.50417199999998,-11.486946999999986
158.0,SAN BALBIN,ELECTRO CENTRO,JUNIN,HUANCAYO,PARIHUANCA,,0.28,0.25,2000.0,,,3,Bomba Invertida,50.0,0.0,,POINT (-74.87408941400003 -11.984779968999987),-74.87408941400003,-11.984779968999987
159.0,SAN GREGORIO,SEAL,AREQUIPA,CAMANA,NICOLAS DE PIEROLA,SAN GREGORIO,0.6,0.45,1988.0,"
1752",,1,Francis,28.0,4.600000000000001,,POINT (-72.71730500000001 -16.57320199999998),-72.71730500000001,-16.57320199999998
160.0,LA RINCONADA,SEAL,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,LA RINCONADA,0.25,0.25,1965.0,,,2,Pelton,106.0,0.0,,POINT (-72.65644500000002 -15.782322000000022),-72.65644500000002,-15.782322000000022
161.0,MARIA JIRAY,HIDRANDINA,ANCASH,HUARI,HUARI,,3.054,1.4,1983.0,,,4,Pelton,450.0,0.0,,POINT (-77.18135799999999 -9.349987999999996),-77.18135799999999,-9.349987999999996
162.0,YAMOBAMBA,HIDRANDINA,LA LIBERTAD,S. CARRION,HUAMACHUCO,,0.59,0.355,1963.0,,,3,Francis,61.0,0.0,,POINT (-78.10123215499999 -7.847670650999987),-78.10123215499999,-7.847670650999987
