,OBJECTID,EMPRESA,NOMBRE,TENSION_NO,ESTACION,POTENCIA_N,NUMERO_TRA,geometry
144,555.0,EDELNOR,VENTANILLA,60.0,S.E. VENTANILLA,25.0,1.0,POINT (-77.128375 -11.868790999999987)
145,556.0,QUIMPAC,OQUENDO,60.0,S.E. OQUENDO,0.0,0.0,POINT (-77.12549899999999 -11.974824000000012)
146,557.0,EDELNOR,INFANTAS,60.0,S.E. INFANTAS,85.0,2.0,POINT (-77.06582200000003 -11.945655999999985)
147,558.0,EDELNOR,BARSI,60.0,S.E. BARSI,400.0,5.0,POINT (-77.10446498099998 -12.048331609000002)
148,559.0,EDELNOR,MARANGA,60.0,S.E. MARANGA,50.0,2.0,POINT (-77.097622 -12.069431000000009)
149,560.0,EDELNOR,MIRONES,60.0,S.E. MIRONES,75.0,3.0,POINT (-77.06517300000002 -12.043714000000023)
150,561.0,EDELNOR,PERSHING,60.0,S.E. PERSHING,65.0,2.0,POINT (-77.05582800000002 -12.089227999999991)
151,562.0,LUZ DEL SUR,NEYRA,60.0,S.E. NEYRA,115.0,3.0,POINT (-77.02481371200003 -12.113670617000025)
152,563.0,LUZ DEL SUR,SAN ISIDRO,60.0,S.E. SAN ISIDRO,40.0,1.0,POINT (-77.039065 -12.095345000000009)
153,564.0,LUZ DEL SUR,LIMATAMBO,60.0,S.E. LIMATAMBO,105.0,3.0,POINT (-77.016118 -12.086908999999991)
154,565.0,LUZ DEL SUR,MONTERRICO,60.0,S.E. MONTERRICO,50.0,1.0,POINT (-76.97387600000002 -12.088273000000015)
155,566.0,LUZ DEL SUR,VILLA MARIA,60.0,S.E. VILLA MARIA DEL TRIUNFO,75.0,3.0,POINT (-76.96172100000001 -12.155601999999988)
156,567.0,CEMENTOS LIMA,ATOCONGO,60.0,S.E. ATOCONGO,100.0,4.0,POINT (-76.90658300000001 -12.195058000000017)
157,568.0,LUZ DEL SUR,VILLA EL SALVADOR,60.0,S.E. VILLA EL SALVADOR,50.0,2.0,POINT (-76.94683309599998 -12.201463694999973)
158,569.0,EDELNOR,TACNA,60.0,S.E. TACNA,90.0,3.0,POINT (-77.03390100000001 -12.043863999999985)
159,570.0,LUZ DEL SUR,HUACHIPA,60.0,S.E. HUACHIPA,90.0,2.0,POINT (-76.91843699999998 -12.003464000000008)
160,571.0,LUZ DEL SUR,SANTA ANITA,60.0,S.E. SANTA ANITA,65.0,2.0,POINT (-76.948805161 -12.035239857000022)
161,572.0,LUZ DEL SUR,PUENTE,60.0,S.E. PUENTE,100.0,3.0,POINT (-76.968412 -12.055768)
162,573.0,CONENHUA,ARES,60.0,S.E. ARES,0.0,0.0,POINT (-72.16857299999998 -15.03571599999998)
163,574.0,EDELNOR,SANTA ROSA VIEJA,60.0,S.E. SANTA ROSA VIEJA,100.0,4.0,POINT (-77.01089382100002 -12.041728697999986)
164,575.0,ABENGOA,FRANCOISE,220.0,S.E. FRANCOISE,60.0,1.0,POINT (-76.361578425 -10.995037447000016)
165,576.0,CEMENTOS ANDINO,CARCAPATA I,60.0,S.E. CARCAPATA 1,2.3,1.0,POINT (-75.55714999999998 -11.268736999999987)
166,577.0,EDEGEL,YANANGO,220.0,S.E. YANANGO,50.0,1.0,POINT (-75.47693299999997 -11.194905000000006)
167,578.0,HIDROELECTRICA SANTA CRUZ,SANTA CRUZ II,60.0,S.E. SANTA CRUZ 2,8.0,1.0,POINT (-77.82892029200002 -8.924729908000018)
